id_venda,data,produto,categoria,preco_unitario,quantidade,loja,estado,vendedor
1025,2026-01-01,Luminária de Mesa,Móveis,126.07,3.0,Loja Online,MG,Ana
1024,2026-01-04,Estante de Livros,Móveis,443.62,4.0,Loja Centro,RS,Elaine
1012,2026-01-07,Estante de Livros,Móveis,451.32,,Loja Online,RS,Ana
1002,2026-01-10,Luminária de Mesa,Móveis,129.48,1.0,Loja Online,RJ,Carla
1005,2026-01-13,Mesa de Escritório,Móveis,756.62,3.0,Loja Centro,SP,Bruno
1010,2026-01-16,Notebook Pro 14,Eletrônicos,4448.02,2.0,Loja Shopping,RJ,
1007,2026-01-19,Notebook Pro 14,Eletrônicos,4199.67,1.0,Loja Centro,PR,Carla
1023,2026-01-22,Mouse Sem Fio,Eletrônicos,87.98,3.0,Loja Online,MG,Ana
1047,2026-01-25,Mesa de Escritório,Móveis,742.56,5.0,Loja Centro,SP,Diego
1003,2026-01-28,Fone Bluetooth,Eletrônicos,242.38,3.0,Loja Online,SP,Carla
1059,2026-01-31,Luminária de Mesa,Móveis,119.0,2.0,Loja Centro,PR,Ana
1055,2026-02-03,Mesa de Escritório,Móveis,720.91,3.0,Loja Online,RS,Ana
1033,2026-02-06,Notebook Pro 14,Eletrônicos,4399.91,4.0,Loja Online,SP,Diego
1057,2026-02-09,Monitor 27pol,Eletrônicos,1846.28,4.0,Loja Shopping,SP,Elaine
1039,2026-02-12,Teclado Mecânico,Eletrônicos,315.99,3.0,Loja Online,PR,Bruno
1058,2026-02-15,Mouse Sem Fio,Eletrônicos,85.06,3.0,Loja Centro,MG,Carla
1032,2026-02-18,Teclado Mecânico,Eletrônicos,331.39,4.0,Loja Shopping,SP,Carla
1035,2026-02-21,Webcam Full HD,Eletrônicos,211.87,4.0,Loja Centro,PR,
1053,2026-02-24,Cadeira Gamer,Móveis,1274.84,1.0,Loja Online,MG,Bruno
1013,2026-02-27,Luminária de Mesa,Móveis,126.01,4.0,Loja Shopping,BA,Carla
1042,2026-03-03,Luminária de Mesa,Móveis,122.22,3.0,Loja Online,RS,Diego
1004,2026-03-06,Mesa de Escritório,Móveis,748.7,4.0,Loja Centro,SP,Diego
1036,2026-03-09,Notebook Pro 14,Eletrônicos,4394.55,2.0,Loja Online,SP,Ana
1044,2026-03-12,Cadeira Gamer,Móveis,1199.49,2.0,Loja Shopping,RJ,Bruno
1048,2026-03-15,Webcam Full HD,Eletrônicos,212.47,3.0,Loja Online,BA,Diego
1054,2026-03-18,Mesa de Escritório,Móveis,732.44,4.0,Loja Centro,SP,Carla
1041,2026-03-21,Mouse Sem Fio,Eletrônicos,82.84,1.0,Loja Centro,BA,Bruno
1027,2026-03-24,Mesa de Escritório,Móveis,755.77,4.0,Loja Centro,PR,Ana
1011,2026-03-27,Monitor 27pol,Eletrônicos,1792.12,4.0,Loja Centro,MG,Carla
1056,2026-03-30,Notebook Pro 14,Eletrônicos,4181.33,4.0,Loja Online,PR,Bruno
1050,2026-04-02,Luminária de Mesa,Móveis,127.09,1.0,Loja Shopping,BA,Elaine
1060,2026-04-05,Fone Bluetooth,Eletrônicos,246.93,4.0,Loja Online,RJ,Diego
1001,2026-04-08,Notebook Pro 14,Eletrônicos,4482.49,5.0,Loja Shopping,PR,Ana
1046,2026-04-11,Estante de Livros,Móveis,426.02,2.0,Loja Centro,BA,
1038,2026-04-14,Webcam Full HD,Eletrônicos,204.59,1.0,Loja Online,RS,Ana
1019,2026-04-17,Webcam Full HD,Eletrônicos,212.92,2.0,Loja Shopping,PR,Diego
1034,2026-04-20,Monitor 27pol,Eletrônicos,1854.37,3.0,Loja Online,BA,Diego
1037,2026-04-23,Webcam Full HD,Eletrônicos,210.21,1.0,Loja Centro,RJ,Diego
1031,2026-04-26,Mesa de Escritório,Móveis,772.51,2.0,Loja Centro,RJ,Carla
1006,2026-04-29,Webcam Full HD,Eletrônicos,202.08,3.0,Loja Centro,BA,Elaine
1030,2026-05-03,Mesa de Escritório,Móveis,728.25,,Loja Centro,RJ,Elaine
1028,2026-05-06,Webcam Full HD,Eletrônicos,210.42,5.0,Loja Centro,SP,Elaine
1022,2026-05-09,Cadeira Gamer,Móveis,1170.06,5.0,Loja Shopping,PR,Carla
1009,2026-05-12,Teclado Mecânico,Eletrônicos,322.85,2.0,Loja Shopping,BA,Elaine
1045,2026-05-15,Notebook Pro 14,Eletrônicos,4166.73,4.0,Loja Shopping,PR,Bruno
1051,2026-05-18,Luminária de Mesa,Móveis,125.54,3.0,Loja Shopping,BA,Diego
1017,2026-05-21,Monitor 27pol,Eletrônicos,1782.68,2.0,Loja Centro,RJ,Elaine
1029,2026-05-24,Monitor 27pol,Eletrônicos,1735.65,2.0,Loja Shopping,RJ,Diego
1052,2026-05-27,Mouse Sem Fio,Eletrônicos,84.56,5.0,Loja Shopping,SP,Diego
1018,2026-05-30,Mouse Sem Fio,Eletrônicos,83.5,1.0,Loja Online,RJ,Ana
1016,2026-06-02,Luminária de Mesa,Móveis,127.36,1.0,Loja Centro,RJ,Diego
1026,2026-06-05,Fone Bluetooth,Eletrônicos,254.2,2.0,Loja Online,SP,Carla
1015,2026-06-08,Luminária de Mesa,Móveis,127.72,5.0,Loja Online,SP,Ana
1020,2026-06-11,Mesa de Escritório,Móveis,730.27,5.0,Loja Centro,BA,Ana
1014,2026-06-14,Luminária de Mesa,Móveis,120.97,2.0,Loja Online,PR,Carla
1021,2026-06-17,Monitor 27pol,Eletrônicos,1747.06,2.0,Loja Shopping,RJ,Diego
1040,2026-06-20,Fone Bluetooth,Eletrônicos,245.26,5.0,Loja Online,BA,Elaine
1049,2026-06-23,Fone Bluetooth,Eletrônicos,248.39,3.0,Loja Shopping,SP,Elaine
1008,2026-06-26,Fone Bluetooth,Eletrônicos,246.27,2.0,Loja Shopping,SP,Bruno
1043,2026-06-30,Luminária de Mesa,Móveis,128.0,4.0,Loja Centro,MG,Carla
